register	REJ/-S/-T/-R | 1E3L/-1/-7/-8
monthly	MON/-TH/-L/-Y | 3lO6/-7L/-4/-3
unfortunate	N/FOR/-T/-B/-N/-NK/-T | 7l/6lO8/-7/-2R/-6/-2r/-7
stretch	S/T/RECH | 7/8/1E2L
generous	JEN/-R/-B/-S | 5rE6/-8/-2R/-1
bench	BEN/-CH | 3E6/-2L
lunchtime	LUN/-CH/-T/-M | 5U6/-2L/-7/-5r
runways	RUN/-B/-S | 1U6/-2R/-1
rubber	RUB/-R | 1U2R/-8
horror	HOR/-B/-R | 3rO8/-2R/-8
engines	EN/-J/-N/-S | E6/-3L/-6/-1
incredible	N/N/K/RED/-B/-L | 7l/7l/2/1E5/-2R/-4
chancellor	CHAN/-SE/-L/-B/-R | 8RA6/-1r/-4/-2R/-8
bobby	BOB/-Y | 3O2R/-3
argued	AR/-G/-B/-D | A8/-3l/-2R/-5
advantages	A/D/VAN/-T/-NK/-J/-S | 8l/6/1rA6/-7/-2r/-3L/-1
mercury	MER/-K/-B/-R/-Y | 3lE8/-3r/-2R/-8/-3
languages	LANG/-G/-B/-NK/-J/-S | 5A2/-3l/-2R/-2r/-3L/-1
twentieth	T/WEN/-T/-Y/-TH | 8/1lE6/-7/-3/-7L
occupation	OK/-B/-P/-SH/-N | O3r/-2R/-5l/-2l/-6
occupation	OK/-B/-P/-T/-N | O3r/-2R/-5l/-7/-6
sub	SUB | 7U2R
sectors	SEK/-T/-B/-R/-S | 7E3r/-7/-2R/-8/-1
genuine	JEN/-B/-N | 5rE6/-2R/-6
lamb	LANSE | 5A6L
judges	JUJ/-S | 5rU3L/-1
allocated	AL/-B/-K/-T/-D | A4/-2R/-3r/-7/-5
developments	D/VEL/-B/-P/-M/-N/-T/-S | 6/1rE4/-2R/-5l/-5r/-6/-7/-1
magistrates	MAJ/-S/-T/-R/-T/-S | 3lA3L/-1/-7/-8/-7/-1
engineers	EN/-J/-N/-R/-S | E6/-3L/-6/-8/-1
establishment	N/S/TAB/-L/-SH/-M/-N/-T | 7l/7/8A2R/-4/-2l/-5r/-6/-7
architecture	AR/-K/-T/-K/-CH/-R | A8/-3r/-7/-3r/-2L/-8
weapon	WEP/-B/-N | 1lE5l/-2R/-6
bollocks	BOL/-B/-K/-S | 3O4/-2R/-3r/-1
fortunate	FOR/-T/-B/-N/-NK/-T | 6lO8/-7/-2R/-6/-2r/-7
republican	R/PUB/-L/-K/-NK/-N | 1/4U2R/-4/-3r/-2r/-6
offence	W/FENSE | 1l/6lE6L
evolution	EV/-B/-L/-SH/-N | E7r/-2R/-4/-2l/-6
evolution	EV/-B/-L/-T/-N | E7r/-2R/-4/-7/-6
origin	OR/-J/-N | O8/-3L/-6
registration	REJ/-S/-T/-R/-SH/-N | 1E3L/-1/-7/-8/-2l/-6
registration	REJ/-S/-T/-R/-T/-N | 1E3L/-1/-7/-8/-7/-6
unconscious	N/KON/-SH/-B/-S | 7l/2O6/-2l/-2R/-1
factories	FAK/-T/-B/-R/-Y/-S | 6lA3r/-7/-2R/-8/-3/-1
urgent	UR/-J/-N/-T | U8/-3L/-6/-7
menu	MEN/-B | 3lE6/-2R
carrots	KAR/-B/-T/-S | 2A8/-2R/-7/-1
budgets	BUJ/-T/-S | 3U3L/-7/-1
corporation	KOR/-P/-B/-R/-SH/-N | 2O8/-5l/-2R/-8/-2l/-6
corporation	KOR/-P/-B/-R/-T/-N | 2O8/-5l/-2R/-8/-7/-6
stretched	S/T/RECH/-D | 7/8/1E2L/-5
expenditures	Z/PEN/-D/-CH/-R/-S | 4R/4E6/-5/-2L/-8/-1
directory	D/REK/-T/-B/-R/-Y | 6/1E3r/-7/-2R/-8/-3
envelope	EN/-V/-L/-B/-P | E6/-7r/-4/-2R/-5l
abbey	AB/-Y | A2R/-3
eleventh	N/LEV/-N/-TH | 7l/5E7r/-6/-7L
educated	ED/-B/-K/-T/-D | E5/-2R/-3r/-7/-5
grandfather	G/R/A/N/D/FATH/-R | 5l/1/8l/7l/6/6lA7L/-8
grandfather	G/RAN/-D/-F/-NK/-TH/-R | 5l/1A6/-5/-7l/-2r/-7L/-8
observation	OB/-S/-R/-V/-SH/-N | O2R/-1/-8/-7r/-2l/-6
observation	OB/-S/-R/-V/-T/-N | O2R/-1/-8/-7r/-7/-6
rub	RUB | 1U2R
hardware	HAR/-D/-B/-R | 3rA8/-5/-2R/-8
constable	KON/-S/-T/-NK/-B/-L | 2O6/-1/-7/-2r/-2R/-4
terror	TER/-B/-R | 8E8/-2R/-8
scratch	S/K/RACH | 7/2/1A2L
arab	AR/-NK/-B | A8/-2r/-2R
registered	REJ/-S/-T/-R/-D | 1E3L/-1/-7/-8/-5
monitor	MON/-T/-B/-R | 3lO6/-7/-2R/-8
embassy	EM/-B/-NK/-SE/-Y | E5r/-2R/-2r/-1r/-3
ethnic	ETH/-N/-K | E7L/-6/-3r
attitudes	AT/-T/-B/-D/-S | A7/-7/-2R/-5/-1
fortunately	FOR/-T/-B/-N/-NK/-T/-L/-Y | 6lO8/-7/-2R/-6/-2r/-7/-4/-3
grab	G/RAB | 5l/1A2R
charging	CHAR/-J/-NG | 8RA8/-3L/-2
ambulance	AM/-B/-B/-L/-NK/-N/-SE | A5r/-2R/-2R/-4/-2r/-6/-1r
honor	HON/-B/-R | 3rO6/-2R/-8
catching	KACH/-NG | 2A2L/-2
